trim,educ,posicao_inicial,posicao_final,transition
2019_1,1,2,4,0.045781560505478436
2019_1,1,3,1,0.007285820001996578
2019_1,1,3,2,0.03880431466243498
2019_1,1,3,3,0.9277712943893729
2019_1,1,3,4,0.026138570946195556
2019_1,1,4,1,0.0495895745059169
2019_1,1,4,2,0.20768122211720538
2019_1,1,4,3,0.3280674657055963
2019_1,1,4,4,0.4146617376712814
2019_2,1,1,1,0.8214163222934795
2019_2,1,1,2,0.12056008171716122
2019_2,1,1,3,0.037689034915975236
2019_2,1,1,4,0.020334561073384015
2019_2,1,2,1,0.09234462281462044
2019_2,1,2,2,0.7340134684540808
2019_2,1,2,3,0.1198038094368735
2019_2,1,2,4,0.05383809929442533
2019_2,1,3,1,0.006836772246023413
2019_2,1,3,2,0.03593417383754849
2019_2,1,3,3,0.9278104082951995
2019_2,1,3,4,0.02941864562122869
2019_2,1,4,1,0.06258282339125423
2019_2,1,4,2,0.2017948307563734
2019_2,1,4,3,0.33506968841482565
2019_2,1,4,4,0.40055265743754676
2019_3,1,1,1,0.8297477057250129
2019_3,1,1,2,0.11497132049383098
2019_3,1,1,3,0.037451359716611364
2019_3,1,1,4,0.01782961406454478
2019_3,1,2,1,0.09446293502065997
2019_3,1,2,2,0.7315485596638472
2019_3,1,2,3,0.1275489137246501
2019_3,1,2,4,0.046439591590842724
2019_3,1,3,1,0.0049688233443468
2019_3,1,3,2,0.03140937307056432
2019_3,1,3,3,0.9385260134289927
2019_3,1,3,4,0.025095790156096233
2019_3,1,4,1,0.0549598302805954
2019_3,1,4,2,0.18941260244112437
2019_3,1,4,3,0.36271351491713916
2019_3,1,4,4,0.3929140523611411
2019_4,1,1,1,0.8180381138998885
2019_4,1,1,2,0.11254131437465514
2019_4,1,1,3,0.04740926721947898
2019_4,1,1,4,0.022011304505977415
2019_4,1,2,1,0.08977973755912076
2019_4,1,2,2,0.7184000052096734
2019_4,1,2,3,0.1396099940569028
2019_4,1,2,4,0.05221026317430308
2019_4,1,3,1,0.004898434930729359
2019_4,1,3,2,0.030687625188225813
2019_4,1,3,3,0.938915238907338
2019_4,1,3,4,0.0254987009737069
2019_4,1,4,1,0.05189169427768798
2019_4,1,4,2,0.17866525828695737
2019_4,1,4,3,0.3519276424215764
2019_4,1,4,4,0.4175154050137782
2020_1,1,1,1,0.8730961445591993
2020_1,1,1,2,0.03134702593397315
2020_1,1,1,3,0.06813944276423571
2020_1,1,1,4,0.027417386742591924
2020_1,1,2,1,0.028202419168126092
2020_1,1,2,2,0.7478119076922233
2020_1,1,2,3,0.1662472779360147
2020_1,1,2,4,0.0577383952036359
2020_1,1,3,1,0.0021495581575108184
2020_1,1,3,2,0.009669054213004992
2020_1,1,3,3,0.9770725878763725
2020_1,1,3,4,0.01110879975311169
2020_1,1,4,1,0.022988641111933175
2020_1,1,4,2,0.0715967798275169
2020_1,1,4,3,0.2980394387086847
2020_1,1,4,4,0.6073751403518652
2020_2,1,1,1,0.9354025439892578
2020_2,1,1,2,0.027790051074422808
2020_2,1,1,3,0.02331212053068838
2020_2,1,1,4,0.013495284405631006
2020_2,1,2,1,0.02391739774875379
2020_2,1,2,2,0.8668768847434483
2020_2,1,2,3,0.07485246793192821
2020_2,1,2,4,0.03435324957586976
2020_2,1,3,1,0.004327584411819044
2020_2,1,3,2,0.021262647019469626
2020_2,1,3,3,0.9543818337119704
2020_2,1,3,4,0.02002793485674093
2020_2,1,4,1,0.03014246420878369
2020_2,1,4,2,0.09299052737406033
